indicator_id,period_start,period_end,value,last_updated
RI_1A2_employment_priority_sectors,2015-01-01,2015-12-31,69540,2026-08-27
RI_1A2_employment_priority_sectors,2016-01-01,2016-12-31,69555,2026-08-27
RI_1A2_employment_priority_sectors,2017-01-01,2017-12-31,77890,2026-08-27
RI_1A2_employment_priority_sectors,2018-01-01,2018-12-31,74665,2026-08-27
RI_1A2_employment_priority_sectors,2019-01-01,2019-12-31,77150,2026-08-27
RI_1A2_employment_priority_sectors,2020-01-01,2020-12-31,80995,2026-08-27
RI_1A2_employment_priority_sectors,2021-01-01,2021-12-31,76955,2026-08-27
RI_1A2_employment_priority_sectors,2022-01-01,2022-12-31,84825,2026-08-27
RI_1A2_employment_priority_sectors,2023-01-01,2023-12-31,94030,2026-08-27
RI_1A2_employment_priority_sectors,2024-01-01,2024-12-31,96115,2026-08-27
