indicator_id,period_start,period_end,value,last_updated
RI_1B1_gdp_growth,2014-01-01,2014-12-31,44248.33775483663,2026-08-27
RI_1B1_gdp_growth,2015-01-01,2015-12-31,44791.855230778456,2026-08-27
RI_1B1_gdp_growth,2016-01-01,2016-12-31,46221.5425044515,2026-08-27
RI_1B1_gdp_growth,2017-01-01,2017-12-31,47521.258207790655,2026-08-27
RI_1B1_gdp_growth,2018-01-01,2018-12-31,47476.144108997054,2026-08-27
RI_1B1_gdp_growth,2019-01-01,2019-12-31,48750.08032731128,2026-08-27
RI_1B1_gdp_growth,2020-01-01,2020-12-31,44606.02810955724,2026-08-27
RI_1B1_gdp_growth,2021-01-01,2021-12-31,50246.364603965354,2026-08-27
RI_1B1_gdp_growth,2022-01-01,2022-12-31,52212.05033711462,2026-08-27
RI_1B1_gdp_growth,2023-01-01,2023-12-31,53689,2026-08-27
