indicator_id,period_start,period_end,value,last_updated
RI_1B2_gva,2013-01-01,2013-12-31,48470.956666526865,2026-08-28
RI_1B2_gva,2014-01-01,2014-12-31,49660.52220004908,2026-08-28
RI_1B2_gva,2015-01-01,2015-12-31,50771.25987968252,2026-08-28
RI_1B2_gva,2016-01-01,2016-12-31,52199.489054281716,2026-08-28
RI_1B2_gva,2017-01-01,2017-12-31,53052.35639354443,2026-08-28
RI_1B2_gva,2018-01-01,2018-12-31,53746.45909506293,2026-08-28
RI_1B2_gva,2019-01-01,2019-12-31,54795.380854144474,2026-08-28
RI_1B2_gva,2020-01-01,2020-12-31,56022.954712327664,2026-08-28
RI_1B2_gva,2021-01-01,2021-12-31,59443.732310365995,2026-08-28
RI_1B2_gva,2022-01-01,2022-12-31,62985.81761415005,2026-08-28
RI_1B2_gva,2023-01-01,2023-12-31,65202.07747721721,2026-08-28
