indicator_id,period_start,period_end,value,last_updated
RI_1D1_broadband_coverage,2018-01-01,2018-01-01,41.6,2026-04-23
RI_1D1_broadband_coverage,2018-09-01,2018-09-01,29.6,2026-04-23
RI_1D1_broadband_coverage,2019-01-01,2019-01-01,28.4,2026-04-23
RI_1D1_broadband_coverage,2019-09-01,2019-09-01,29.8,2026-04-23
RI_1D1_broadband_coverage,2020-01-01,2020-01-01,94.1,2026-04-23
RI_1D1_broadband_coverage,2020-09-01,2020-09-01,94.5,2026-04-23
RI_1D1_broadband_coverage,2021-01-01,2021-01-01,95.2,2026-04-23
RI_1D1_broadband_coverage,2021-09-01,2021-09-01,95.4,2026-04-23
RI_1D1_broadband_coverage,2022-01-01,2022-01-01,96,2026-04-23
RI_1D1_broadband_coverage,2022-09-01,2022-09-01,96,2026-04-23
RI_1D1_broadband_coverage,2023-01-01,2023-01-01,96.4,2026-04-23
RI_1D1_broadband_coverage,2023-09-01,2023-09-01,96.7,2026-04-23
RI_1D1_broadband_coverage,2024-01-01,2024-01-01,96.9,2026-04-23
RI_1D1_broadband_coverage,2024-07-01,2024-07-01,96.7,2026-04-23
RI_1D1_broadband_coverage,2025-01-01,2025-01-01,97,2026-04-23
RI_1D1_broadband_coverage,2025-07-01,2025-07-01,97,2026-04-23
