indicator_id,period_start,period_end,value,last_updated
RI_1E2_population_change,2015-01-01,2015-12-31,0,2026-08-27
RI_1E2_population_change,2016-01-01,2016-12-31,1.474362475,2026-08-27
RI_1E2_population_change,2017-01-01,2017-12-31,2.237414432,2026-08-27
RI_1E2_population_change,2018-01-01,2018-12-31,3.177980705,2026-08-27
RI_1E2_population_change,2019-01-01,2019-12-31,3.858765564,2026-08-27
RI_1E2_population_change,2020-01-01,2020-12-31,4.454776818,2026-08-27
RI_1E2_population_change,2021-01-01,2021-12-31,4.912930257,2026-08-27
RI_1E2_population_change,2022-01-01,2022-12-31,6.487194889,2026-08-27
RI_1E2_population_change,2023-01-01,2023-12-31,8.048479401,2026-08-27
RI_1E2_population_change,2024-01-01,2024-12-31,9.689793061,2026-08-27
