indicator_id,period_start,period_end,value,last_updated
RI_2A1_bus_rail_trips,2009-04-01,2010-03-31,66.56694078029705,2026-08-27
RI_2A1_bus_rail_trips,2010-04-01,2011-03-31,68.19101042232204,2026-08-27
RI_2A1_bus_rail_trips,2011-04-01,2012-03-31,69.53073506617015,2026-08-27
RI_2A1_bus_rail_trips,2012-04-01,2013-03-31,66.58048551569901,2026-08-27
RI_2A1_bus_rail_trips,2013-04-01,2014-03-31,71.0001271498228,2026-08-27
RI_2A1_bus_rail_trips,2014-04-01,2015-03-31,75.8782438158907,2026-08-27
RI_2A1_bus_rail_trips,2015-04-01,2016-03-31,80.09157580754692,2026-08-27
RI_2A1_bus_rail_trips,2016-04-01,2017-03-31,85.63303383796048,2026-08-27
RI_2A1_bus_rail_trips,2017-04-01,2018-03-31,83.39046911934906,2026-08-27
RI_2A1_bus_rail_trips,2018-04-01,2019-03-31,85.95226463091078,2026-08-27
RI_2A1_bus_rail_trips,2019-04-01,2020-03-31,80.84769907610676,2026-08-27
RI_2A1_bus_rail_trips,2020-04-01,2021-03-31,21.710768807197454,2026-08-27
RI_2A1_bus_rail_trips,2021-04-01,2022-03-31,50.39737441953966,2026-08-27
RI_2A1_bus_rail_trips,2022-04-01,2023-03-31,61.24164136181331,2026-08-27
RI_2A1_bus_rail_trips,2023-04-01,2024-03-31,73.68723459741575,2026-08-27
RI_2A1_bus_rail_trips,2024-04-01,2025-03-31,77.28097821252439,2026-08-27
