indicator_id,period_start,period_end,value,last_updated
RI_2B1_walk_cycle_rate,2015-04-01,2016-03-31,49.7,2026-08-27
RI_2B1_walk_cycle_rate,2016-04-01,2017-03-31,49.4,2026-08-27
RI_2B1_walk_cycle_rate,2017-04-01,2018-03-31,51.7,2026-08-27
RI_2B1_walk_cycle_rate,2018-04-01,2019-03-31,52.800000000000004,2026-08-27
RI_2B1_walk_cycle_rate,2019-04-01,2020-03-31,38,2026-08-27
RI_2B1_walk_cycle_rate,2020-04-01,2021-03-31,34.400000000000006,2026-08-27
RI_2B1_walk_cycle_rate,2021-04-01,2022-03-31,45.5,2026-08-27
RI_2B1_walk_cycle_rate,2022-04-01,2023-03-31,50.3,2026-08-27
RI_2B1_walk_cycle_rate,2023-04-01,2024-03-31,48.5,2026-08-27
RI_2B1_walk_cycle_rate,2024-04-01,2025-03-31,46.3,2026-08-27
