indicator_id,period_start,period_end,value,last_updated
RI_2B3_active_travel_satisfaction,2016-01-01,2016-12-31,58,2026-08-27
RI_2B3_active_travel_satisfaction,2017-01-01,2017-12-31,57.25,2026-08-27
RI_2B3_active_travel_satisfaction,2018-01-01,2018-12-31,55.875,2026-08-27
RI_2B3_active_travel_satisfaction,2019-01-01,2019-12-31,56,2026-08-27
RI_2B3_active_travel_satisfaction,2020-01-01,2020-12-31,54,2026-08-27
RI_2B3_active_travel_satisfaction,2021-01-01,2021-12-31,53.375,2026-08-27
RI_2B3_active_travel_satisfaction,2022-01-01,2022-12-31,53.75,2026-08-27
RI_2B3_active_travel_satisfaction,2023-01-01,2023-12-31,51.125,2026-08-27
RI_2B3_active_travel_satisfaction,2024-01-01,2024-12-31,51.125,2026-08-27
RI_2B3_active_travel_satisfaction,2025-01-01,2025-12-31,52.75,2026-08-27
