indicator_id,period_start,period_end,value,last_updated
RI_3A1_co2_domestic,2015-01-01,2015-12-31,552.2,2026-08-27
RI_3A1_co2_domestic,2016-01-01,2016-12-31,562.9,2026-08-27
RI_3A1_co2_domestic,2017-01-01,2017-12-31,552.6,2026-08-27
RI_3A1_co2_domestic,2018-01-01,2018-12-31,534,2026-08-27
RI_3A1_co2_domestic,2019-01-01,2019-12-31,515.4,2026-08-27
RI_3A1_co2_domestic,2020-01-01,2020-12-31,421.4,2026-08-27
RI_3A1_co2_domestic,2021-01-01,2021-12-31,456,2026-08-27
RI_3A1_co2_domestic,2022-01-01,2022-12-31,460.8,2026-08-27
RI_3A1_co2_domestic,2023-01-01,2023-12-31,455.1,2026-08-27
RI_3A1_co2_domestic,2024-01-01,2024-12-31,451.20000000000005,2026-08-27
