indicator_id,period_start,period_end,value,last_updated
RI_3A3_non_decent_homes,2009-04-01,2010-03-31,20.25,2026-08-27
RI_3A3_non_decent_homes,2010-04-01,2011-03-31,19.25,2026-08-27
RI_3A3_non_decent_homes,2011-04-01,2012-03-31,18.25,2026-08-27
RI_3A3_non_decent_homes,2012-04-01,2013-03-31,17.25,2026-08-27
RI_3A3_non_decent_homes,2013-04-01,2014-03-31,16.25,2026-08-27
RI_3A3_non_decent_homes,2014-04-01,2015-03-31,15.25,2026-08-27
RI_3A3_non_decent_homes,2015-04-01,2016-03-31,14.250000000000002,2026-08-27
RI_3A3_non_decent_homes,2016-04-01,2017-03-31,13.25,2026-08-27
RI_3A3_non_decent_homes,2017-04-01,2018-03-31,13.25,2026-08-27
RI_3A3_non_decent_homes,2018-04-01,2019-03-31,12.75,2026-08-27
RI_3A3_non_decent_homes,2019-04-01,2020-03-31,12.25,2026-08-27
RI_3A3_non_decent_homes,2020-04-01,2021-03-31,12.25,2026-08-27
RI_3A3_non_decent_homes,2021-04-01,2022-03-31,12.75,2026-08-27
RI_3A3_non_decent_homes,2022-04-01,2023-03-31,12.75,2026-08-27
RI_3A3_non_decent_homes,2023-04-01,2024-03-31,12.75,2026-08-27
RI_3A3_non_decent_homes,2024-04-01,2025-03-31,12.75,2026-08-27
