indicator_id,period_start,period_end,value,last_updated
RI_3C1_net_additional_dwellings,2014-04-01,2015-03-31,4240,2026-08-27
RI_3C1_net_additional_dwellings,2015-04-01,2016-03-31,4397,2026-08-27
RI_3C1_net_additional_dwellings,2016-04-01,2017-03-31,5848,2026-08-27
RI_3C1_net_additional_dwellings,2017-04-01,2018-03-31,5734,2026-08-27
RI_3C1_net_additional_dwellings,2018-04-01,2019-03-31,5270,2026-08-27
RI_3C1_net_additional_dwellings,2019-04-01,2020-03-31,5018,2026-08-27
RI_3C1_net_additional_dwellings,2020-04-01,2021-03-31,5235,2026-08-27
RI_3C1_net_additional_dwellings,2021-04-01,2022-03-31,5920,2026-08-27
RI_3C1_net_additional_dwellings,2022-04-01,2023-03-31,5002,2026-08-27
RI_3C1_net_additional_dwellings,2023-04-01,2024-03-31,4529,2026-08-27
RI_3C1_net_additional_dwellings,2024-04-01,2025-03-31,3024,2026-08-27
