indicator_id,period_start,period_end,value,last_updated
RI_3C2_house_price_earnings,2015-01-01,2015-12-31,8.225,2026-08-27
RI_3C2_house_price_earnings,2016-01-01,2016-12-31,8.865,2026-08-27
RI_3C2_house_price_earnings,2017-01-01,2017-12-31,9.282499999999999,2026-08-27
RI_3C2_house_price_earnings,2018-01-01,2018-12-31,9.3525,2026-08-27
RI_3C2_house_price_earnings,2019-01-01,2019-12-31,9.34,2026-08-27
RI_3C2_house_price_earnings,2020-01-01,2020-12-31,9.145,2026-08-27
RI_3C2_house_price_earnings,2021-01-01,2021-12-31,10.4375,2026-08-27
RI_3C2_house_price_earnings,2022-01-01,2022-12-31,10.0275,2026-08-27
RI_3C2_house_price_earnings,2023-01-01,2023-12-31,9.77,2026-08-27
RI_3C2_house_price_earnings,2024-01-01,2024-12-31,9,2026-08-27
