indicator_id,period_start,period_end,value,last_updated
RI_4A3_apprenticeship_starts,2015-08-01,2016-07-31,8860,2026-06-15
RI_4A3_apprenticeship_starts,2016-08-01,2017-07-31,8620,2026-06-15
RI_4A3_apprenticeship_starts,2017-08-01,2018-07-31,7730,2026-06-15
RI_4A3_apprenticeship_starts,2018-08-01,2019-07-31,7670,2026-06-15
RI_4A3_apprenticeship_starts,2019-08-01,2020-07-31,6444,2026-06-15
RI_4A3_apprenticeship_starts,2020-08-01,2021-07-31,6662,2026-06-15
RI_4A3_apprenticeship_starts,2021-08-01,2022-07-31,7176,2026-06-15
RI_4A3_apprenticeship_starts,2022-08-01,2023-07-31,7146,2026-06-15
RI_4A3_apprenticeship_starts,2023-08-01,2024-07-31,7040,2026-06-15
RI_4A3_apprenticeship_starts,2024-08-01,2025-07-31,7540,2026-06-15
