indicator_id,period_start,period_end,value,last_updated
RI_4B1_employment_rate_16_64,2014-04-01,2015-03-31,75.7,2026-06-15
RI_4B1_employment_rate_16_64,2014-07-01,2015-06-30,77.4,2026-06-15
RI_4B1_employment_rate_16_64,2014-10-01,2015-09-30,77.8,2026-06-15
RI_4B1_employment_rate_16_64,2015-01-01,2015-12-31,77.5,2026-06-15
RI_4B1_employment_rate_16_64,2015-04-01,2016-03-31,77.1,2026-06-15
RI_4B1_employment_rate_16_64,2015-07-01,2016-06-30,77.4,2026-06-15
RI_4B1_employment_rate_16_64,2015-10-01,2016-09-30,77,2026-06-15
RI_4B1_employment_rate_16_64,2016-01-01,2016-12-31,77.1,2026-06-15
RI_4B1_employment_rate_16_64,2016-04-01,2017-03-31,78,2026-06-15
RI_4B1_employment_rate_16_64,2016-07-01,2017-06-30,78.2,2026-06-15
RI_4B1_employment_rate_16_64,2016-10-01,2017-09-30,78.5,2026-06-15
RI_4B1_employment_rate_16_64,2017-01-01,2017-12-31,78.6,2026-06-15
RI_4B1_employment_rate_16_64,2017-04-01,2018-03-31,78.1,2026-06-15
RI_4B1_employment_rate_16_64,2017-07-01,2018-06-30,78.9,2026-06-15
RI_4B1_employment_rate_16_64,2017-10-01,2018-09-30,78.4,2026-06-15
RI_4B1_employment_rate_16_64,2018-01-01,2018-12-31,79.1,2026-06-15
RI_4B1_employment_rate_16_64,2018-04-01,2019-03-31,79.5,2026-06-15
RI_4B1_employment_rate_16_64,2018-07-01,2019-06-30,79.4,2026-06-15
RI_4B1_employment_rate_16_64,2018-10-01,2019-09-30,79.7,2026-06-15
RI_4B1_employment_rate_16_64,2019-01-01,2019-12-31,78.8,2026-06-15
RI_4B1_employment_rate_16_64,2019-04-01,2020-03-31,79.2,2026-06-15
RI_4B1_employment_rate_16_64,2019-07-01,2020-06-30,78.7,2026-06-15
RI_4B1_employment_rate_16_64,2019-10-01,2020-09-30,78.7,2026-06-15
RI_4B1_employment_rate_16_64,2020-01-01,2020-12-31,79.7,2026-06-15
RI_4B1_employment_rate_16_64,2020-04-01,2021-03-31,78.9,2026-06-15
RI_4B1_employment_rate_16_64,2020-07-01,2021-06-30,78.1,2026-06-15
RI_4B1_employment_rate_16_64,2020-10-01,2021-09-30,78.5,2026-06-15
RI_4B1_employment_rate_16_64,2021-01-01,2021-12-31,79.6,2026-06-15
RI_4B1_employment_rate_16_64,2021-04-01,2022-03-31,80.2,2026-06-15
RI_4B1_employment_rate_16_64,2021-07-01,2022-06-30,81.4,2026-06-15
RI_4B1_employment_rate_16_64,2021-10-01,2022-09-30,81.2,2026-06-15
RI_4B1_employment_rate_16_64,2022-01-01,2022-12-31,79.7,2026-06-15
RI_4B1_employment_rate_16_64,2022-04-01,2023-03-31,79.9,2026-06-15
RI_4B1_employment_rate_16_64,2022-07-01,2023-06-30,79.3,2026-06-15
RI_4B1_employment_rate_16_64,2022-10-01,2023-09-30,80,2026-06-15
RI_4B1_employment_rate_16_64,2023-01-01,2023-12-31,79.2,2026-06-15
RI_4B1_employment_rate_16_64,2023-04-01,2024-03-31,79.7,2026-06-15
RI_4B1_employment_rate_16_64,2023-07-01,2024-06-30,78.9,2026-06-15
RI_4B1_employment_rate_16_64,2023-10-01,2024-09-30,78.2,2026-06-15
RI_4B1_employment_rate_16_64,2024-01-01,2024-12-31,79.2,2026-06-15
RI_4B1_employment_rate_16_64,2024-04-01,2025-03-31,78.9,2026-06-15
RI_4B1_employment_rate_16_64,2024-07-01,2025-06-30,80,2026-06-15
RI_4B1_employment_rate_16_64,2024-10-01,2025-09-30,80.1,2026-06-15
RI_4B1_employment_rate_16_64,2025-01-01,2025-12-31,79.9,2026-06-15
