indicator_id,period_start,period_end,value,last_updated
RI_5A1_renewable_capacity_km2,2015-01-01,2015-12-31,0.17957050359712232,2026-04-13
RI_5A1_renewable_capacity_km2,2016-01-01,2016-12-31,0.2486244604316547,2026-04-13
RI_5A1_renewable_capacity_km2,2017-01-01,2017-12-31,0.2610223021582734,2026-04-13
RI_5A1_renewable_capacity_km2,2018-01-01,2018-12-31,0.25202877697841725,2026-04-13
RI_5A1_renewable_capacity_km2,2019-01-01,2019-12-31,0.26345035971223024,2026-04-13
RI_5A1_renewable_capacity_km2,2020-01-01,2020-12-31,0.2851410071942446,2026-04-13
RI_5A1_renewable_capacity_km2,2021-01-01,2021-12-31,0.2907884892086331,2026-04-13
RI_5A1_renewable_capacity_km2,2022-01-01,2022-12-31,0.3077950104172662,2026-04-13
RI_5A1_renewable_capacity_km2,2023-01-01,2023-12-31,0.36076094566906475,2026-04-13
RI_5A1_renewable_capacity_km2,2024-01-01,2024-12-31,0.3781702909928057,2026-04-13
