indicator_id,period_start,period_end,value,last_updated
RI_5_ghg_emissions,2014-01-01,2014-12-31,5970.938377541999,2026-04-09
RI_5_ghg_emissions,2015-01-01,2015-12-31,5770.706273617,2026-04-09
RI_5_ghg_emissions,2016-01-01,2016-12-31,5509.848758916,2026-04-09
RI_5_ghg_emissions,2017-01-01,2017-12-31,5311.552905129,2026-04-09
RI_5_ghg_emissions,2018-01-01,2018-12-31,5281.914518064,2026-04-09
RI_5_ghg_emissions,2019-01-01,2019-12-31,5022.060909127,2026-04-09
RI_5_ghg_emissions,2020-01-01,2020-12-31,4451.471302596,2026-04-09
RI_5_ghg_emissions,2021-01-01,2021-12-31,4874.999349555,2026-04-09
RI_5_ghg_emissions,2022-01-01,2022-12-31,4580.217310232,2026-04-09
RI_5_ghg_emissions,2023-01-01,2023-12-31,4409.659821819,2026-04-09
