indicator_id,period_start,period_end,value,last_updated
RI_6A3_ks2_expected_standards,2015-09-01,2016-08-31,54.26992333749332,2026-06-16
RI_6A3_ks2_expected_standards,2016-09-01,2017-08-31,60.6803797468354,2026-06-16
RI_6A3_ks2_expected_standards,2017-09-01,2018-08-31,63.8326137495849,2026-06-16
RI_6A3_ks2_expected_standards,2018-09-01,2019-08-31,65.65101430534229,2026-06-16
RI_6A3_ks2_expected_standards,2019-09-01,2020-08-31,NA,2026-06-16
RI_6A3_ks2_expected_standards,2020-09-01,2021-08-31,NA,2026-06-16
RI_6A3_ks2_expected_standards,2021-09-01,2022-08-31,59.13678000310508,2026-06-16
RI_6A3_ks2_expected_standards,2022-09-01,2023-08-31,58.150963679643695,2026-06-16
RI_6A3_ks2_expected_standards,2023-09-01,2024-08-31,59.16872301048741,2026-06-16
RI_6A3_ks2_expected_standards,2024-09-01,2025-08-31,61.679559773506696,2026-06-16
