indicator_id,period_start,period_end,value,last_updated
RI_6A4_free_school_meals,2015-09-01,2016-08-31,13.1230106231089,2026-06-16
RI_6A4_free_school_meals,2016-09-01,2017-08-31,12.472986485178902,2026-06-16
RI_6A4_free_school_meals,2017-09-01,2018-08-31,12.279237493310204,2026-06-16
RI_6A4_free_school_meals,2018-09-01,2019-08-31,13.974597371489802,2026-06-16
RI_6A4_free_school_meals,2019-09-01,2020-08-31,15.906118025189706,2026-06-16
RI_6A4_free_school_meals,2020-09-01,2021-08-31,18.500954648020002,2026-06-16
RI_6A4_free_school_meals,2021-09-01,2022-08-31,19.652453324961698,2026-06-16
RI_6A4_free_school_meals,2022-09-01,2023-08-31,20.7213026838603,2026-06-16
RI_6A4_free_school_meals,2023-09-01,2024-08-31,21.2623314848746,2026-06-16
RI_6A4_free_school_meals,2024-09-01,2025-08-31,21.840980197234806,2026-06-16
