indicator_id,period_start,period_end,value,last_updated
RI_6B1_childcare_places,2019-12-31,2019-12-31,44.12453531598513,2026-06-16
RI_6B1_childcare_places,2020-03-31,2020-03-31,45.06853280318091,2026-06-16
RI_6B1_childcare_places,2020-08-31,2020-08-31,45.13377335984095,2026-06-16
RI_6B1_childcare_places,2021-03-31,2021-03-31,46.0467181404156,2026-06-16
RI_6B1_childcare_places,2021-08-31,2021-08-31,46.028876446678964,2026-06-16
RI_6B1_childcare_places,2022-03-31,2022-03-31,46.67554021855229,2026-06-16
RI_6B1_childcare_places,2022-08-31,2022-08-31,46.763552707254945,2026-06-16
RI_6B1_childcare_places,2023-03-31,2023-03-31,46.80868257535696,2026-06-16
RI_6B1_childcare_places,2023-08-31,2023-08-31,48.09766657852988,2026-06-16
RI_6B1_childcare_places,2024-03-31,2024-03-31,49.037204415835646,2026-06-16
RI_6B1_childcare_places,2024-08-31,2024-08-31,49.09677150385219,2026-06-16
RI_6B1_childcare_places,2025-03-31,2025-03-31,48.927025314344796,2026-06-16
RI_6B1_childcare_places,2025-08-31,2025-08-31,49.99508054564253,2026-06-16
