indicator_id,period_start,period_end,value,last_updated
RI_6B2_early_years_quality,2019-12-31,2019-12-31,96.61691542288557,2026-06-16
RI_6B2_early_years_quality,2020-03-31,2020-03-31,96.94189602446482,2026-06-16
RI_6B2_early_years_quality,2020-08-31,2020-08-31,96.88796680497926,2026-06-16
RI_6B2_early_years_quality,2021-03-31,2021-03-31,97.13024282560706,2026-06-16
RI_6B2_early_years_quality,2021-08-31,2021-08-31,97.58771929824562,2026-06-16
RI_6B2_early_years_quality,2022-03-31,2022-03-31,97.13302752293578,2026-06-16
RI_6B2_early_years_quality,2022-08-31,2022-08-31,96.58018867924528,2026-06-16
RI_6B2_early_years_quality,2023-03-31,2023-03-31,95.4271961492178,2026-06-16
RI_6B2_early_years_quality,2023-08-31,2023-08-31,96.2332928311057,2026-06-16
RI_6B2_early_years_quality,2024-03-31,2024-03-31,97.76674937965261,2026-06-16
RI_6B2_early_years_quality,2024-08-31,2024-08-31,98.9821882951654,2026-06-16
RI_6B2_early_years_quality,2025-03-31,2025-03-31,98.47908745247149,2026-06-16
RI_6B2_early_years_quality,2025-08-31,2025-08-31,98.14356435643565,2026-06-16
