indicator_id,period_start,period_end,value,last_updated
RI_6D5_pupil_semh_needs,2015-09-01,2016-08-31,2.446558344072593,2026-06-16
RI_6D5_pupil_semh_needs,2016-09-01,2017-08-31,2.513763509842301,2026-06-16
RI_6D5_pupil_semh_needs,2017-09-01,2018-08-31,2.587387294287855,2026-06-16
RI_6D5_pupil_semh_needs,2018-09-01,2019-08-31,2.720227942068983,2026-06-16
RI_6D5_pupil_semh_needs,2019-09-01,2020-08-31,3.103178311214375,2026-06-16
RI_6D5_pupil_semh_needs,2020-09-01,2021-08-31,3.3377669586167085,2026-06-16
RI_6D5_pupil_semh_needs,2021-09-01,2022-08-31,3.8434713296467895,2026-06-16
RI_6D5_pupil_semh_needs,2022-09-01,2023-08-31,4.253312788906009,2026-06-16
RI_6D5_pupil_semh_needs,2023-09-01,2024-08-31,4.709867036452996,2026-06-16
RI_6D5_pupil_semh_needs,2024-09-01,2025-08-31,5.313103516360114,2026-06-16
