indicator_id,period_start,period_end,value,last_updated
RI_ex1_bus_ridership,2015-01-01,2015-12-31,45.2,2026-04-22
RI_ex1_bus_ridership,2016-01-01,2016-12-31,46.8,2026-04-22
RI_ex1_bus_ridership,2017-01-01,2017-12-31,48.3,2026-04-22
RI_ex1_bus_ridership,2018-01-01,2018-12-31,49.1,2026-04-22
RI_ex1_bus_ridership,2019-01-01,2019-12-31,50.5,2026-04-22
RI_ex1_bus_ridership,2020-01-01,2020-12-31,32.4,2026-04-22
RI_ex1_bus_ridership,2021-01-01,2021-12-31,35.7,2026-04-22
RI_ex1_bus_ridership,2022-01-01,2022-12-31,42.1,2026-04-22
RI_ex1_bus_ridership,2023-01-01,2023-12-31,47.8,2026-04-22
RI_ex1_bus_ridership,2024-01-01,2024-12-31,49.2,2026-04-22
